individual,group,observation,value
1990,A,value1,2129
1990,A,value2,99
1990,A,value3,94
1990,A,value4,0
1991,B,value1,2737
1991,B,value2,257
1991,B,value3,145
1991,B,value4,0
1992,B,value1,882
1992,B,value2,248
1992,B,value3,112
1992,B,value4,0
1993,B,value1,2200
1993,B,value2,45
1993,B,value3,153
1993,B,value4,0
1994,B,value1,2140
1994,B,value2,79
1994,B,value3,25
1994,B,value4,0
1995,B,value1,3316
1995,B,value2,25
1995,B,value3,60
1995,B,value4,0
